date,FL162000005.A,FL162010005.A,FL165035005.A,FL165015205.A,FL165013765.A,FL164090005.A,FL163020005.A,FL163030205.A,FL163034003.A,LM164022005.A,LM163061005.A,LM163063005.A,FL164023005.A,FL163065013.A,FL163066223.A,FL163069005.A,LM163064005.A,FL163070005.A,FL163090005.A,FL163072003.A,FL163093005.A,FL164190005.A,FL163162003.A,FL164123005.A,FL163165505.A,FL163168005.A,FL163169005.A,FL163170005.A,FL163193005.A,FL162090005.A,FL164090015.A,FL164090025.A
1945,ND,19279,18586,436,257,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,316,ND,0,504,ND,ND,ND,ND
1946,ND,25534,24652,590,292,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,414,ND,0,671,ND,ND,ND,ND
1947,ND,29986,28908,768,310,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,506,ND,0,771,ND,ND,ND,ND
1948,ND,31287,30033,944,310,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,721,ND,0,851,ND,ND,ND,ND
1949,ND,31754,30396,1043,315,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,966,ND,0,884,ND,ND,ND,ND
1950,ND,36502,34811,1346,345,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,1266,ND,0,951,ND,ND,ND,ND
1951,ND,40047,38089,1592,366,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,1569,ND,0,1034,ND,ND,ND,ND
1952,ND,42246,40143,1728,375,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,1836,ND,0,1133,ND,ND,ND,ND
1953,ND,43238,40864,1980,394,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,2132,ND,0,1212,ND,ND,ND,ND
1954,ND,44622,42045,2160,417,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,2412,ND,0,1298,ND,ND,ND,ND
1955,ND,49971,47104,2412,455,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,2166,ND,0,1381,ND,ND,ND,ND
1956,ND,54738,51510,2726,502,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,2860,ND,0,1530,ND,ND,ND,ND
1957,ND,58117,54512,3050,555,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,3255,ND,0,1658,ND,ND,ND,ND
1958,ND,59270,55379,3263,628,ND,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0,ND,0,ND,ND,0,ND,3871,ND,0,1809,ND,ND,ND,ND
