date,FU266905095.A,FU266903001.A,FU266904195.A,FU266400101.A,FU266900095.A,FU266903011.A,FU266904095.A,FU266400201.A,FU266000095.A,FU266000095.A,FU265440005.A,FU265420095.A,FU265000905.A,FU265000905.A,FU264090005.A,FU263011005.A,FU263011205.A,FU313111303.A,FU264000005.A,FU263025003.A,FU263027003.A,FU263030005.A,FU264016005.A,FU264022005.A,FU263069103.A,FU263061105.A,FU263061705.A,FU263062003.A,FU263063005.A,FU264035005.A,FU264041005.A,FU262051005.A,FU263069005.A,FU263092305.A,FU263081005.A,FU263034003.A,FU263064105.A,FU263064203.A,FU263092101.A,FU263052005.A,FU263076005.A,FU543141905.A,FU543151905.A,FU263096005.A,FU264194005.A,FU313011303.A,FU264100005.A,FU263111503.A,FU263111403.A,FU263191005.A,FU313091105.A,FU264122005.A,FU263169105.A,FU263163005.A,FU264135005.A,FU264141005.A,FU262151003.A,FU263169005.A,FU263168005.A,FU713091103.A,FU263192305.A,FU263181105.A,FU263164100.A,FU313092803.A,FU263192101.A,FU263152005.A,FU263196005.A,FU263170005.A,FU263194735.A,FU265000005.A,FV268090185.A,FV268090085.A,FU267005085.A,FR264090005.A,FR263011005.A,FR264000005.A,FR264022005.A,FR263069103.A,FR263061105.A,FR263061705.A,FR263062003.A,FR263063005.A,FR263092305.A,FR263081005.A,FR263064105.A,FR263064203.A,FR263092101.A,FR263096005.A,FR264194005.A,FR313011303.A,FR264100005.A,FR263111503.A,FR263111403.A,FR263191005.A,FR263191103.A,FR263163005.A,FR264135005.A,FR263169203.A,FR263192305.A,FR263181105.A,FR263164100.A,FR263192101.A,FR263152005.A,FR263196005.A,FR265000005.A,FC262090095.A,FL264090005.A,FL313111303.A,FL264000005.A,FL263025003.A,FL263027003.A,FL263030005.A,FL264016005.A,FL264022005.A,LM263069103.A,LM263061105.A,LM263061705.A,LM263062003.A,LM263063005.A,FL264035005.A,FL264041005.A,FL262051005.A,FL263069005.A,FL263092305.A,FL263081005.A,FL263034003.A,LM263064105.A,LM263064203.A,LM263092101.A,FL263052005.A,FL263076005.A,FL543141905.A,FL543151905.A,LM263096005.A,FL262100005.A,FL264194005.A,FL313011303.A,FL264100005.A,FL263111503.A,FL263111403.A,LM263191005.A,FL313091105.A,FL264122005.A,FL263169105.A,LM263163005.A,FL264135005.A,FL264141005.A,FL262151003.A,FL263169005.A,FL263168005.A,FL713091103.A,FL263192305.A,FL263181105.A,LM263164100.A,FL313092803.A,LM263192101.A,FL263152005.A,LM263196005.A,LM263170005.A,FL263194735.A,FL262090095.A
1960,28761,22841,1775,4145,31933,27045,4888,0,-3171,-3171,0,-0,-3171,-3171,4307,1703,1703,0,1054,0,-18,284,788,904,534,291,0,0,79,64,0,0,0,64,454,0,203,0,251,0,0,0,0,128,5766,0,89,0,-442,3,528,577,0,577,1273,1159,0,1053,106,0,114,3066,86,154,2826,0,761,761,0,-1459,1712,0,-1712,-1961,-1703,0,0,0,0,0,0,0,2,-260,-264,0,4,0,-680,0,13,0,0,13,0,0,-35,0,-35,-658,209,-867,0,0,-1281,-2740,36920,0,7184,0,2122,2859,2203,12610,1291,10651,0,0,668,1429,0,0,0,1429,14798,0,9302,0,5496,0,0,0,0,899,36920,65461,0,4643,0,1555,148,2940,5784,0,5784,17875,16636,0,14391,2245,0,1239,35434,3984,824,30626,0,1725,1725,0,-28541
1961,28695,22688,1788,4219,32909,27602,5307,0,-4214,-4214,0,-1,-4213,-4213,3145,857,857,0,914,0,976,52,-114,454,69,384,0,0,1,65,0,0,0,65,569,0,323,0,246,0,0,0,0,286,5849,0,600,116,135,88,261,437,0,437,1659,1556,0,1074,482,0,103,3047,325,171,2551,0,106,106,0,-2704,1509,0,-1509,1343,-857,0,0,0,0,0,0,0,3,2197,2183,0,14,0,791,0,0,0,0,0,0,0,8,0,8,783,593,190,0,0,552,-2152,41408,0,8098,0,3098,2911,2089,13064,1360,11035,0,0,669,1497,0,0,0,1497,17564,0,11808,0,5756,0,0,0,0,1185,41408,72101,0,5243,116,1690,236,3201,6221,0,6221,19542,18192,0,15465,2727,0,1350,39264,4902,995,33367,0,1831,1831,0,-30693
1962,31207,24965,1847,4395,35006,29066,5940,0,-3800,-3800,0,1,-3801,-3801,3363,890,890,0,280,0,135,498,-353,1733,27,1344,337,0,25,72,0,0,0,72,383,0,109,0,274,0,0,0,0,5,4753,0,-523,-17,-626,-125,245,994,0,994,973,861,0,681,180,0,112,2836,-25,122,2739,0,473,473,0,-1390,2411,0,-2411,-2515,-890,0,0,0,0,0,0,0,-10,-1615,-1581,0,-34,0,224,0,679,0,0,679,0,0,-12,0,-12,-443,-163,-280,0,0,-2739,-4129,42256,0,8378,0,3233,3409,1736,14797,1387,12379,337,0,694,1559,0,0,0,1559,16332,0,10336,0,5996,0,0,0,0,1190,42256,77078,0,5399,99,1064,790,3446,7215,0,7215,20503,19053,0,16146,2907,0,1450,41657,4714,1117,35826,0,2304,2304,0,-34822
1963,32658,26136,2053,4469,37605,31075,6530,0,-4947,-4947,0,-0,-4947,-4947,3636,461,461,0,1234,0,266,851,117,1096,50,654,335,0,57,48,0,0,0,48,408,0,225,0,183,0,0,0,0,389,6680,0,322,113,-29,-209,447,993,0,993,2198,2063,0,1626,437,0,135,3522,112,62,3348,0,-355,-355,0,-3044,1874,-29,-1903,1512,-461,0,0,0,0,0,0,0,10,1963,1924,0,39,0,446,0,150,0,0,150,0,0,-1,0,-1,297,319,-22,0,0,1066,-2007,47404,0,9612,0,3499,4260,1853,15893,1437,13033,672,0,751,1617,0,0,0,1617,18703,0,12485,0,6218,0,0,0,0,1579,47404,84233,0,5871,212,1035,731,3893,8208,0,8208,22729,21145,0,17772,3373,0,1584,45476,5145,1179,39152,0,1949,1949,0,-36829
1964,34791,28105,2319,4367,42258,35019,7239,0,-7468,-7468,0,-0,-7468,-7468,3688,125,125,0,2140,0,959,1255,-74,1015,183,288,336,0,208,67,0,0,0,67,-37,0,-292,0,255,0,0,0,0,378,8309,0,76,220,-266,103,19,467,0,467,3083,2937,0,1957,980,0,146,3935,211,112,3612,0,748,748,0,-4621,6462,3615,-2847,1507,-125,0,0,0,0,0,0,0,-3,1635,1642,0,-7,0,163,0,263,0,0,263,0,0,0,0,0,-100,-86,-14,0,0,1344,338,56394,0,15547,3795,4458,5515,1779,16908,1620,13321,1008,0,959,1681,0,0,0,1681,20301,0,13835,0,6466,0,0,0,0,1957,56394,92885,0,6210,432,769,1097,3912,8675,0,8675,25992,24262,0,19718,4544,0,1730,49311,5270,1291,42750,0,2697,2697,0,-36491
1965,38870,31529,2602,4739,45027,37146,7881,0,-6158,-6158,0,-0,-6158,-6158,3236,1666,1666,0,796,131,125,566,-26,477,362,-265,336,0,44,86,0,0,0,86,-72,0,-400,0,328,0,0,0,0,283,7850,0,147,349,94,-312,16,460,0,460,2156,1961,0,1522,439,0,195,5115,299,0,4816,0,-28,-28,0,-4614,1597,53,-1544,-531,-1666,0,0,0,0,0,0,0,-6,1141,1164,0,-23,0,5394,0,-4,0,0,-4,0,0,230,0,230,5168,-521,5689,0,0,-5925,-10486,59099,0,16343,3926,4583,6081,1753,17385,1982,13056,1344,0,1003,1761,0,0,0,1761,21370,0,14599,0,6771,0,0,0,0,2240,59099,106076,0,6353,781,863,781,3928,9135,0,9135,28325,26170,0,21187,4983,0,2155,59594,5048,1291,53255,0,2669,2669,0,-46977
1966,45183,37058,3001,5124,48991,40920,8071,0,-3808,-3808,0,-1,-3807,-3807,4910,571,571,0,3739,336,380,332,2691,-124,230,-1904,336,0,1214,88,0,0,0,88,33,0,-305,0,338,0,0,0,0,603,7899,0,372,540,-537,104,265,735,0,735,1358,1147,0,1328,-181,0,211,5092,-15,-100,5207,0,342,342,0,-2989,728,-90,-818,-2233,-571,0,0,0,0,0,0,0,-3,-1659,-1651,0,-8,0,-2495,0,0,0,0,0,0,0,-70,0,-70,-2425,-709,-1716,0,0,262,-2817,61776,0,20082,4262,4963,6413,4444,17261,2212,11152,1680,0,2217,1846,0,0,0,1846,19744,0,12643,0,7101,0,0,0,0,2843,61776,111570,0,6725,1321,326,885,4193,9870,0,9870,29703,27407,0,22605,4802,0,2296,62261,4324,1191,56746,0,3011,3011,0,-49794
1967,48666,39912,3289,5465,52149,43467,8682,0,-3483,-3483,0,1,-3484,-3484,8938,1170,1170,0,2796,235,327,1266,968,2776,35,2087,336,0,318,144,0,0,0,144,1252,0,698,0,554,0,0,0,0,800,10943,0,992,1024,94,84,-210,1216,0,1216,3146,2959,0,2913,46,0,187,4904,92,193,4619,0,685,685,0,-2005,1479,0,-1479,11063,-1170,0,0,0,0,0,0,0,13,12220,12170,0,50,0,2670,0,86,0,0,86,0,0,69,0,69,2515,822,1693,0,0,8393,6388,81777,0,22878,4497,5290,7679,5412,20037,2247,13239,2016,0,2535,2003,0,0,0,2003,33216,0,25511,0,7705,0,0,0,0,3643,81777,125183,0,7803,2345,420,1055,3983,11086,0,11086,32918,30366,0,25518,4848,0,2552,69680,5238,1384,63058,0,3696,3696,0,-43406
1968,56475,46556,4017,5902,58008,47906,10102,0,-1533,-1533,0,-0,-1533,-1533,11094,1173,1173,0,2665,289,561,-270,2085,2569,579,-662,336,0,2316,167,0,0,0,167,2738,0,2097,0,641,0,0,0,0,1782,11705,0,2514,1175,870,532,-63,1084,0,1084,1796,1591,0,2050,-459,0,205,5702,485,128,5089,0,609,609,0,-611,922,0,-922,688,-1173,0,0,0,0,0,0,0,-10,1871,1909,0,-38,0,3502,0,8,8,0,0,0,0,108,0,108,3386,729,2657,0,0,-2814,-3425,93559,0,25543,4786,5851,7409,7497,22606,2826,12577,2352,0,4851,2160,0,0,0,2160,37825,0,29517,0,8308,0,0,0,0,5425,93559,140390,0,10325,3528,1290,1587,3920,12170,0,12170,34822,31957,0,27568,4389,0,2865,78768,6452,1512,70804,0,4305,4305,0,-46831
1969,62098,50492,5664,5942,63701,51922,11779,0,-1604,-1604,-2,0,-1602,-1602,17534,-967,-967,0,14276,493,324,1380,12079,558,994,-2337,336,0,1565,259,0,0,0,259,2569,0,1565,0,1004,0,0,0,0,839,9960,0,-289,-820,1034,-414,-89,1028,0,1028,2197,1966,0,2421,-455,0,231,6433,521,184,5728,0,591,591,0,7574,4349,-4827,-9176,-3401,967,0,0,0,0,0,0,0,-8,-4360,-4321,0,-39,0,3498,0,73,73,0,0,0,0,135,0,135,3290,-20,3310,0,0,-6899,-4152,102865,0,34992,5279,6175,8789,14749,23164,3820,10240,2688,0,6416,2411,0,0,0,2411,36034,0,26761,0,9273,0,0,0,0,6264,102865,153848,0,10109,2781,2324,1173,3831,13198,0,13198,37154,33923,0,29989,3934,0,3231,88491,6953,1696,79842,0,4896,4896,0,-50983
