date,FA366010115.Q,FA366210005.Q,FA366240005.Q,FA366231005.Q,FA316231061.Q,FA366601005.Q,FA366150105.Q,FA366403105.Q,FA366402105.Q,FA366900015.Q,FA366901005.Q,FA366404005.Q,FA366403005.Q,FA366130005.Q,FA366402005.Q,FA366006005.Q,FA366300005.Q,FA313154015.Q,FA365440095.Q,FA366000105.Q,FA365090005.Q,FA365019005.Q,FA365420005.Q,FA365000005.Q,FA364090005.Q,FA313011005.Q,FA363020005.Q,FA363030005.Q,FA213034003.Q,FA212051003.Q,FA364022005.Q,FA213069103.Q,FA213061103.Q,FA363061705.Q,FA213062003.Q,FA363063005.Q,FA364023005.Q,FA363065005.Q,FA313066220.Q,FA363069005.Q,FA363064105.Q,FA313081115.Q,FA213064203.Q,FA363070005.Q,FA363078005.Q,FA363090005.Q,FA364190005.Q,FA313111303.Q,FA713014003.Q,FA313112003.Q,FA364122005.Q,FA313161105.Q,FA313161705.Q,FA213162005.Q,FA364123005.Q,FA313165403.Q,FA363169005.Q,FA313140003.Q,FA363170005.Q,FA363190005.Q,FA367005005.Q,FA374090005.Q,FA374190005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,51936,17210,16832,9104,0,6618,407,1399,366,59297,38490,10122,3144,5813,1728,-7361,11523,1320,-878,3720,8827,4708,70,4049,-15308,-89,-21848,195,0,0,-757,0,-352,-100,-305,0,1988,-321,0,2309,0,257,0,-677,5813,-190,-19357,0,0,126,-24596,-24462,-203,69,1565,0,1565,1165,-1867,4250,-5107,-14630,-18679
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,56989,19790,18106,11193,0,5564,507,1493,336,54465,34142,10428,2916,6244,735,2524,11387,1116,-996,13791,23738,5686,90,17962,16589,1401,189,150,0,0,675,0,711,3,-39,0,3991,-68,0,4059,0,291,0,111,9669,112,-1373,0,0,-28,-7705,-9279,-37,1611,2927,0,2927,605,-798,3626,-9947,15898,-2064
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
