date,FL892090005.Q,LM152010005.Q,LM155035005.Q,LM165015205.Q,LM165013765.Q,LM155111005.Q,LM112010005.Q,LM115035005.Q,LM115015205.Q,LM115013765.Q,LM115020005.Q,LM662090003.Q,LM882010405.Q,LM102010405.Q,LM792010405.Q,LM315015005.Q,LM315015605.Q,LM315013265.Q,LM315013765.Q,LM212010095.Q,LM215015605.Q,LM215013265.Q,LM215013765.Q,FL882090265.Q,FL264194005.Q,LM263164100.Q,FL264194035.Q,FL264090005.Q,LM263064105.Q,FL264090035.Q,FL892090005.Q,FC892090005.Q,PC892090005.Q,FL152090005.Q,FC152090005.Q,PC152090005.Q
1945:Q4,733273,189327,134635,436,257,53999,188688,151676,10964,1942,24107,0,152328,123176,29152,135721,54203,77510,4008,66104,64816,993,295,1105,14523,942,13581,13418,2700,10718,733273,ND,ND,806616,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,817834,220716,158074,590,292,61760,227819,179671,13074,2162,32912,0,158832,130918,27914,132686,58350,69624,4712,72880,71448,1099,333,4901,16756,1001,15755,11855,2690,9165,817834,84560,11.531892395583634,885217,78600,9.744432170293454
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,934933,280815,206381,768,310,73356,262958,206256,17090,2507,37106,0,161920,134809,27111,124219,60427,58568,5224,93300,91532,1452,316,11721,23622,972,22650,11901,2480,9421,934933,117100,14.318261000308668,984197,98980,11.181466336824275
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
